"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2006"	"2006"	"Nebraska"	"31"	202	1772693	11
	"2006"	"2006"	"Nevada"	"32"	486	2522658	19
	"2006"	"2006"	"New Hampshire"	"33"	151	1308389	12
	"2006"	"2006"	"New Jersey"	"34"	585	8661679	7
	"2006"	"2006"	"New Mexico"	"35"	352	1962137	18
	"2006"	"2006"	"New York"	"36"	1326	19104631	7
	"2006"	"2006"	"North Carolina"	"37"	1106	8917270	12
	"2006"	"2006"	"North Dakota"	"38"	90	649422	14
	"2006"	"2006"	"Ohio"	"39"	1325	11481213	12
	"2006"	"2006"	"Oklahoma"	"40"	537	3594090	15
	"2006"	"2006"	"Oregon"	"41"	579	3670883	16
	"2006"	"2006"	"Pennsylvania"	"42"	1396	12510809	11
	"2006"	"2006"	"Rhode Island"	"44"	90	1063096	8
	"2006"	"2006"	"South Carolina"	"45"	524	4357847	12
	"2006"	"2006"	"South Dakota"	"46"	125	783033	16
	"2006"	"2006"	"Tennessee"	"47"	874	6088766	14
	"2006"	"2006"	"Texas"	"48"	2347	23359580	10
	"2006"	"2006"	"Utah"	"49"	362	2525507	14
	"2006"	"2006"	"Vermont"	"50"	81	622892	13
	"2006"	"2006"	"Virginia"	"51"	876	7673725	11
	"2006"	"2006"	"Washington"	"53"	809	6370753	13
	"2006"	"2006"	"West Virginia"	"54"	269	1827912	15
	"2006"	"2006"	"Wisconsin"	"55"	670	5577655	12
	"2006"	"2006"	"Wyoming"	"56"	116	522667	22
	"2007"	"2007"	"Alabama"	"01"	592	4672840	13
	"2007"	"2007"	"Alaska"	"02"	149	680300	22
	"2007"	"2007"	"Arizona"	"04"	1016	6167681	16
	"2007"	"2007"	"Arkansas"	"05"	402	2848650	14
	"2007"	"2007"	"California"	"06"	3602	36250311	10
	"2007"	"2007"	"Colorado"	"08"	811	4803868	17
	"2007"	"2007"	"Connecticut"	"09"	271	3527270	8
	"2007"	"2007"	"Delaware"	"10"	95	871749	11
	"2007"	"2007"	"District of Columbia"	"11"	36	574404	6
	"2007"	"2007"	"Florida"	"12"	2587	18367842	14
	"2007"	"2007"	"Georgia"	"13"	997	9349988	11
	"2007"	"2007"	"Hawaii"	"15"	133	1315675	10
	"2007"	"2007"	"Idaho"	"16"	223	1505105	15
	"2007"	"2007"	"Illinois"	"17"	1108	12695866	9
	"2007"	"2007"	"Indiana"	"18"	790	6379599	12
	"2007"	"2007"	"Iowa"	"19"	322	2999212	11
	"2007"	"2007"	"Kansas"	"20"	382	2783785	14
	"2007"	"2007"	"Kentucky"	"21"	649	4256672	15
	"2007"	"2007"	"Louisiana"	"22"	522	4375581	12
	"2007"	"2007"	"Maine"	"23"	191	1327040	14
	"2007"	"2007"	"Maryland"	"24"	518	5653408	9
	"2007"	"2007"	"Massachusetts"	"25"	516	6431559	8
	"2007"	"2007"	"Michigan"	"26"	1131	10001284	11
	"2007"	"2007"	"Minnesota"	"27"	572	5207203	11
	"2007"	"2007"	"Mississippi"	"28"	396	2928350	14
	"2007"	"2007"	"Missouri"	"29"	808	5887612	14
	"2007"	"2007"	"Montana"	"30"	196	964706	20
	"2007"	"2007"	"Nebraska"	"31"	181	1783440	10
